,model_name,dimension_name,verbosity_corr_requirements,verbosity_corr_body,diff_requirements_body
0,Qwen/Qwen3-4B-Instruct-2507,deal_pitch_brand_prestige,0.10678432393126097,-0.013873767810895943,0.12065809174215691
1,Qwen/Qwen3-4B-Instruct-2507,deal_pitch_call_to_action_strength,0.10109210374438354,0.0060107643393747055,0.09508133940500883
2,Qwen/Qwen3-4B-Instruct-2507,deal_pitch_creative_restrictiveness,0.08733630753900533,-0.21075177674275047,0.2980880842817558
3,Qwen/Qwen3-4B-Instruct-2507,deal_pitch_creator_brand_alignment,0.18248677171446037,-0.015426812816445173,0.19791358453090555
4,Qwen/Qwen3-4B-Instruct-2507,deal_pitch_functional_utility,0.13679627803663189,0.05747641453271785,0.07931986350391404
5,Qwen/Qwen3-4B-Instruct-2507,deal_pitch_perceived_economic_value,0.1587823785585158,0.028791654957249346,0.12999072360126646
6,Qwen/Qwen3-4B-Instruct-2507,deal_pitch_product_universality,0.08569253803556547,-0.09980161078588906,0.18549414882145454
7,Qwen/Qwen3-4B-Instruct-2507,deal_pitch_proposition_clarity,0.3091074304887224,-0.047211601824988306,0.3563190323137107
8,Qwen/Qwen3-4B-Instruct-2507,deal_pitch_rhetorical_objectivity,0.23713446444855138,-0.05357621923194524,0.29071068368049663
9,Qwen/Qwen3-4B-Instruct-2507,deal_pitch_workload_volume,0.36049057018383357,-0.06285499271835476,0.42334556290218833
10,Qwen/Qwen3.5-4B,deal_pitch_brand_prestige,0.18213107579467144,-0.03677109689888858,0.21890217269356002
11,Qwen/Qwen3.5-4B,deal_pitch_call_to_action_strength,0.049696785711274914,0.04977021528043217,-7.34295691572559e-05
12,Qwen/Qwen3.5-4B,deal_pitch_creative_restrictiveness,0.3668767848907646,-0.20327751556398052,0.5701543004547451
13,Qwen/Qwen3.5-4B,deal_pitch_creator_brand_alignment,0.1766565117853516,-0.0440354504268964,0.22069196221224802
14,Qwen/Qwen3.5-4B,deal_pitch_functional_utility,0.1212891124992686,0.10198423707301711,0.01930487542625149
15,Qwen/Qwen3.5-4B,deal_pitch_perceived_economic_value,0.11588000970441337,0.04561587460808191,0.07026413509633145
16,Qwen/Qwen3.5-4B,deal_pitch_product_universality,0.09548097842947595,-0.08583107386751875,0.1813120522969947
17,Qwen/Qwen3.5-4B,deal_pitch_proposition_clarity,0.21656200261858008,-0.12901954530381676,0.3455815479223968
18,Qwen/Qwen3.5-4B,deal_pitch_rhetorical_objectivity,0.09362084023101543,-0.1222701846703719,0.21589102490138734
19,Qwen/Qwen3.5-4B,deal_pitch_workload_volume,0.3970871160978065,-0.13740403185416952,0.534491147951976
20,google/gemma-4-E2B-it,deal_pitch_brand_prestige,0.02361048063145437,-0.043976639321992486,0.06758711995344685
21,google/gemma-4-E2B-it,deal_pitch_call_to_action_strength,0.1250253634109241,0.05720161268480704,0.06782375072611706
22,google/gemma-4-E2B-it,deal_pitch_creative_restrictiveness,0.20287962020759498,-0.18851639296461487,0.39139601317220984
23,google/gemma-4-E2B-it,deal_pitch_creator_brand_alignment,0.12065771613583263,-0.02645293987741749,0.14711065601325013
24,google/gemma-4-E2B-it,deal_pitch_functional_utility,-0.015001535909433636,0.0916145802751649,-0.10661611618459854
25,google/gemma-4-E2B-it,deal_pitch_perceived_economic_value,0.04103652401788261,0.09337879085331452,-0.05234226683543191
26,google/gemma-4-E2B-it,deal_pitch_product_universality,0.025549846367863067,0.009854220511676086,0.01569562585618698
27,google/gemma-4-E2B-it,deal_pitch_proposition_clarity,0.12277216671486851,-0.12015118474530025,0.24292335146016875
28,google/gemma-4-E2B-it,deal_pitch_rhetorical_objectivity,0.13014846893605872,-0.11055801021436658,0.2407064791504253
29,google/gemma-4-E2B-it,deal_pitch_workload_volume,0.27210845195536804,-0.018950590795425874,0.2910590427507939
30,meta-llama/Llama-3.2-3B-Instruct,deal_pitch_brand_prestige,0.2646569932676955,0.12903133108594936,0.13562566218174613
31,meta-llama/Llama-3.2-3B-Instruct,deal_pitch_call_to_action_strength,0.12223614021654876,0.2107724085393151,-0.08853626832276633
32,meta-llama/Llama-3.2-3B-Instruct,deal_pitch_creative_restrictiveness,-0.19462995095275146,-0.014231148398295111,-0.18039880255445634
33,meta-llama/Llama-3.2-3B-Instruct,deal_pitch_creator_brand_alignment,0.10939855444508281,0.10850909706676576,0.0008894573783170545
34,meta-llama/Llama-3.2-3B-Instruct,deal_pitch_functional_utility,0.07216328142022702,0.3222620507598511,-0.25009876933962405
35,meta-llama/Llama-3.2-3B-Instruct,deal_pitch_perceived_economic_value,0.20171679540699508,0.2347910407549881,-0.033074245347993025
36,meta-llama/Llama-3.2-3B-Instruct,deal_pitch_product_universality,0.1356889495099909,0.0934854657343859,0.04220348377560501
37,meta-llama/Llama-3.2-3B-Instruct,deal_pitch_proposition_clarity,0.20337741618466051,0.15283236385154655,0.05054505233311396
38,meta-llama/Llama-3.2-3B-Instruct,deal_pitch_rhetorical_objectivity,0.10095881939560336,0.07410149520992662,0.02685732418567674
39,meta-llama/Llama-3.2-3B-Instruct,deal_pitch_workload_volume,0.25021127848495256,0.14229379544220044,0.10791748304275212
